STATCD,STATNAME,SCH1,SCH2,SCH3,SCH4,SCH5,SCH6,SCH7,SCH9,SCHTOT,SCH1GA,SCH2GA,SCH3GA,SCH4GA,SCH5GA,SCH6GA,SCH7GA,SCH9GA,SCHTOTGA,SCHBOY1,SCHBOY2,SCHBOY3,SCHBOY4,SCHBOY5,SCHBOY6,SCHBOY7,SCHBOY9,SCHBOYTOT,SCHGIR1,SCHGIR2,SCHGIR3,SCHGIR4,SCHGIR5,SCHGIR6,SCHGIR7,SCHGIR9,SCHGIRTOT,ENR1,ENR2,ENR3,ENR4,ENR5,ENR6,ENR7,ENR9,ENRTOT,TCH1,TCH2,TCH3,TCH4,TCH5,TCH6,TCH7,TCH9,TCHTOT,SCLS1,SCLS2,SCLS3,SCLS4,SCLS5,SCLS6,SCLS7,SCLSTOT,STCH1,STCH2,STCH3,STCH4,STCH5,STCH6,STCH7,STCHTOT,ROAD1,ROAD2,ROAD3,ROAD4,ROAD5,ROAD6,ROAD7,ROADTOT,SPLAY1,SPLAY2,SPLAY3,SPLAY4,SPLAY5,SPLAY6,SPLAY7,SPLAYTOT,SBNDR1,SBNDR2,SBNDR3,SBNDR4,SBNDR5,SBNDR6,SBNDR7,SBNDRTOT,SGTOIL1,SGTOIL2,SGTOIL3,SGTOIL4,SGTOIL5,SGTOIL6,SGTOIL7,SGTOILTOT,SBTOIL1,SBTOIL2,SBTOIL3,SBTOIL4,SBTOIL5,SBTOIL6,SBTOIL7,SBTOILTOT,SWAT1,SWAT2,SWAT3,SWAT4,SWAT5,SWAT6,SWAT7,SWATTOT,SELE1,SELE2,SELE3,SELE4,SELE5,SELE6,SELE7,SELETOT,SCOMP1,SCOMP2,SCOMP3,SCOMP4,SCOMP5,SCOMP6,SCOMP7,SCOMPTOT,SRAM1,SRAM2,SRAM3,SRAM4,SRAM5,SRAM6,SRAM7,SRAM9,SRAMTOT,SRAMN1,SRAMN2,SRAMN3,SRAMN4,SRAMN5,SRAMN6,SRAMN7,SRAMN9,SRAMNTOT,ESTD1,ESTD2,ESTD3,ESTD4,ESTD5,ESTD6,ESTD7,ESTDTOT,MDM1,MDM2,MDM3,MDM4,MDM5,MDM6,MDM7,MDMTOT,KIT1,KIT2,KIT3,KIT4,KIT5,KIT6,KIT7,KITTOT,KITS1,KITS2,KITS3,KITS4,KITS5,KITS6,KITS7,KITSTOT,ENR501,ENR502,ENR503,ENR504,ENR505,ENR506,ENR507,ENR509,ENR50TOT,SMC1,SMC2,SMC3,SMC4,SMC5,SMC6,SMC7,SMCTOT,CLS1,CLS2,CLS3,CLS4,CLS5,CLS6,CLS7,CLSTOT,TCHF1,TCHF2,TCHF3,TCHF4,TCHF5,TCHF6,TCHF7,TCHF9,TCHFTOT,TCHM1,TCHM2,TCHM3,TCHM4,TCHM5,TCHM6,TCHM7,ENRG1,ENRG2,ENRG3,ENRG4,ENRG5,ENRG6,ENRG7,ENRG9,ENRGTOT,C1_B,C2_B,C3_B,C4_B,C5_B,C6_B,C7_B,C8_B,C9_B,C1_G,C2_G,C3_G,C4_G,C5_G,C6_G,C7_G,C8_G,C9_G,OVERALL_LI
1,JAMMU & KASHMIR,14604,10153,486,133,95,2693,414,0,28578,13166,8026,98,133,92,1401,413,0,23329,14472,10034,477,35,93,2639,378,0,28128,14536,10067,480,127,92,2680,391,0,28373,405631,815729,180423,5451,6475,426827,16240,0,1856776,35378,66915,11006,821,1878,36581,5268,0,157847,1969,113,5,2,6,11,8,2114,1709,35,0,1,0,0,0,1745,10772,8406,469,124,86,2386,391,22634,3195,4518,452,44,75,2080,240,10604,3011,4072,435,61,63,1806,262,9710,13323,9863,479,125,92,2662,390,26934,12721,9624,471,34,91,2574,372,25887,13097,9521,484,126,92,2641,401,26362,2142,2910,472,59,90,2117,288,8078,601,2094,438,15,72,1545,151,4916,1647,2969,120,18,46,925,242,0,5967,1988,2716,102,26,41,846,237,0,5956,10682,2138,63,110,6,211,3,13213,13147,8006,75,104,77,1391,401,23201,7150,6229,65,56,57,1207,310,15074,11917,7743,74,97,76,1377,390,21674,13144,3555,32,111,52,365,301,514,17560,13014,7970,88,133,84,1378,411,23078,41171,62474,7878,564,495,24326,2001,138909,14731,28202,6938,707,600,18085,1590,0,70853,20647,38713,4068,114,1278,18496,3678,201825,395417,78574,4590,2450,195609,7734,0,886199,156602,129759,125487,122532,117644,109777,105242,103534,96707,143926,117978,114864,112619,107642,100578,95389,93203,84336,68.74
2,HIMACHAL PRADESH,11327,798,565,2132,1634,684,884,0,18024,10716,5,24,2131,1623,7,880,0,15386,11314,798,562,2126,1594,684,874,0,17952,11311,798,563,2131,1613,681,884,0,17981,346078,67356,180518,65608,133555,110617,47034,0,950766,27880,6906,10928,7568,27179,8294,6110,0,94865,293,1,2,196,24,1,23,540,1347,1,0,128,0,0,0,1476,8960,773,562,1715,1490,669,760,14929,9449,768,550,1661,1558,667,803,15456,7283,545,486,1326,1230,511,635,12016,11294,798,563,2116,1613,681,884,17949,11278,796,562,2110,1594,684,874,17898,11314,798,565,2120,1634,684,884,17999,10097,787,564,1788,1624,682,859,16401,534,643,541,399,1441,649,473,4680,9246,150,115,1537,1449,125,770,0,13392,7618,239,156,1350,1194,194,670,0,11421,973,610,212,1238,83,349,173,3638,10709,1,1,2127,1613,0,880,15331,10081,0,0,1788,1550,0,849,14268,10626,1,0,2012,1604,0,874,15117,9730,241,25,1846,430,62,496,15,12830,10712,3,17,2121,1613,2,880,15348,38307,6930,6909,6498,5445,6151,2717,72957,12503,4951,7619,1958,9973,5790,2070,0,44864,15377,1955,3309,5610,17206,2504,4040,174209,29343,77429,33110,67009,47972,23645,0,452717,61885,60505,59552,59349,62646,64356,65577,64179,67976,56914,56249,54495,53153,56365,58336,59576,57629,58574,83.78
3,PUNJAB,14371,2582,2593,2864,1754,2743,1869,0,28776,13315,358,490,2862,1734,337,1860,0,20956,14256,2577,2575,2840,1553,2739,1787,0,28327,14263,2582,2589,2857,1659,2740,1841,0,28531,1111145,314849,1121508,204828,299041,671122,239946,0,3962439,48104,23929,69743,12158,36588,39538,20410,0,250470,435,4,0,46,30,2,45,562,1430,3,2,139,1,0,8,1583,14317,2551,2581,2858,1751,2725,1867,28650,13952,2338,2540,2831,1741,2604,1847,27853,14135,2528,2568,2814,1742,2700,1830,28317,14237,2570,2588,2853,1654,2739,1841,28482,14202,2557,2566,2827,1548,2733,1783,28216,14369,2580,2593,2864,1754,2742,1869,28771,14361,2575,2592,2864,1754,2742,1869,28757,1326,2251,2558,2720,1750,2665,1866,15136,11484,844,964,2418,1546,920,1684,0,19860,2488,435,482,593,487,515,490,0,5490,1071,1396,913,1149,49,1107,116,5801,13195,42,187,2860,1701,60,1856,19901,12020,28,113,2574,1565,38,1704,18042,12352,33,144,2660,1593,49,1734,18565,6692,559,61,977,50,141,118,212,8598,13156,120,286,2861,1721,121,1860,20125,56222,23531,42532,9244,8406,30835,7218,177988,32913,20775,57114,6881,21647,33952,11718,0,185000,15191,3154,12629,5277,14941,5586,8692,537759,135915,470503,96086,144666,289141,113094,0,1787164,277323,271892,265625,269057,275450,281125,269871,264932,260047,232771,227494,220161,223438,225372,229697,219214,209017,195256,76.68
4,CHANDIGARH,12,29,85,0,5,70,0,0,201,7,12,47,0,3,53,0,0,122,12,29,82,0,5,70,0,0,198,12,29,84,0,5,70,0,0,200,3437,12866,81983,0,1234,58401,0,0,157921,182,590,5479,0,234,2824,0,0,9309,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12,29,85,0,5,70,0,201,7,25,83,0,5,67,0,187,12,29,85,0,5,70,0,201,12,29,84,0,5,70,0,200,12,29,82,0,5,70,0,198,12,29,85,0,5,70,0,201,12,29,85,0,5,70,0,201,6,27,85,0,5,67,0,190,5,13,54,0,2,46,0,0,120,4,12,47,0,2,41,0,0,106,3,9,10,0,1,14,0,37,7,12,43,0,2,52,0,116,0,0,5,0,0,2,0,7,0,0,5,0,0,2,0,7,1,0,0,0,0,0,0,0,1,7,12,46,0,3,52,0,120,135,419,2066,0,36,1398,0,4054,154,440,4456,0,179,2116,0,0,7345,28,150,1023,0,55,708,0,1565,6026,37830,0,467,27242,0,0,73130,8298,9362,10055,10824,11119,11623,11703,11807,12842,7390,8420,9019,9159,9584,10019,10051,9488,9737,86.43
5,UTTARAKHAND,15497,1584,487,3433,1600,164,895,0,23660,12605,25,80,2983,1504,14,833,0,18044,15484,1583,463,3332,1462,160,833,0,23317,15483,1581,484,3408,1515,161,882,0,23514,714095,310532,256577,164475,154986,50068,61795,145,1712673,42791,12914,8355,12361,24255,1932,6766,0,109374,202,3,0,10,23,0,21,259,1361,26,2,165,1,1,2,1558,11551,1514,478,2581,1311,161,618,18214,8631,1325,465,1862,926,144,415,13768,12659,1370,480,2776,1009,159,652,19105,14974,1565,484,3329,1485,161,868,22866,15048,1556,461,3235,1449,159,818,22726,14916,1568,487,3267,1569,164,865,22836,9596,1437,483,2575,1525,162,736,16514,1993,1236,470,1968,1504,151,588,7910,8636,270,127,1738,536,30,349,0,11686,3651,175,81,781,282,24,196,0,5190,3216,777,121,1487,82,64,165,5912,12473,22,38,2917,1462,7,818,17737,11102,17,27,2462,1299,5,732,15644,12453,22,37,2910,1458,7,813,17700,11636,136,10,2372,444,9,428,364,15035,12492,21,64,2932,1458,11,818,17796,48215,14587,7545,12388,6671,1855,3227,94488,23164,8660,5684,4687,6114,1314,2026,0,51649,19627,4254,2671,7674,18141,618,4740,352019,132706,113492,83982,75680,21291,32523,71,811764,128768,117729,116062,113433,113063,106463,103791,101600,101104,113062,104943,104058,102335,101755,96896,95073,93642,90991,79.63
6,HARYANA,9994,2235,2329,2423,1924,1926,1437,0,22268,8925,4,136,2418,1902,39,1401,0,14825,9371,2234,2312,2163,1623,1924,1261,0,20888,9472,2229,2324,2392,1768,1924,1359,0,21468,1073586,422437,1058650,183319,319163,503564,170225,0,3730944,40322,22024,58498,8423,37801,24832,13070,0,204970,136,0,0,37,17,1,16,207,803,0,2,263,1,0,5,1074,9744,2190,2305,2367,1904,1897,1417,21824,7923,1944,2252,1957,1717,1761,1226,18780,9676,2203,2326,2306,1899,1914,1416,21740,9412,2229,2324,2380,1763,1924,1358,21390,9291,2234,2310,2153,1621,1922,1257,20788,9979,2235,2329,2423,1923,1926,1437,22252,9640,2232,2329,2264,1911,1926,1424,21726,785,1737,2236,741,1868,1706,1377,10450,6651,846,1282,1688,1539,802,1056,0,13864,3446,567,731,922,954,445,639,0,7704,980,1128,940,227,16,602,17,3910,8911,2,56,2405,1857,19,1392,14642,5785,2,32,1664,1520,9,1080,10092,7694,2,53,2058,1645,17,1232,12701,3062,134,25,838,103,66,181,47,4409,8912,2,51,2411,1857,17,1396,14646,52975,23273,35337,8686,10503,20136,6481,157391,18363,15062,40115,2694,17333,16095,5146,0,114808,21959,6962,18383,5729,20468,8737,7924,549193,169740,420909,102308,157609,204384,90059,0,1694202,247117,250901,255850,257657,263295,253617,256013,252292,256443,199636,209105,215776,216416,220897,208937,213487,209948,200143,76.64
7,DELHI,2755,904,1135,35,545,260,117,0,5751,1776,18,576,30,536,35,111,0,3082,2189,902,1002,27,362,256,83,0,4821,2185,899,1028,27,272,253,71,0,4735,1031685,324443,1114076,11072,323521,134946,67267,0,3007010,27492,11097,67256,419,23284,5948,3353,0,138849,2,0,0,0,1,0,0,3,11,0,0,2,0,0,0,13,2755,904,1135,35,545,260,117,5751,2294,816,1074,25,495,236,86,5026,2728,904,1131,35,545,260,117,5720,2185,899,1028,27,272,253,71,4735,2189,902,1002,27,362,256,83,4821,2755,904,1135,35,545,260,117,5751,2750,902,1135,35,545,260,117,5744,2209,848,1018,11,413,251,75,4825,1977,562,896,21,485,177,100,0,4218,1977,562,896,21,485,177,100,0,4218,612,422,143,10,102,56,34,1379,1766,15,533,30,533,29,111,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,8,0,3,12,0,2,4,85,1722,16,546,28,522,33,110,2977,31334,10627,26042,287,5952,3943,1074,79259,19977,9531,52774,235,11101,5059,1746,0,100423,7515,1566,14482,184,12183,889,1607,502958,125309,546957,5642,140471,51734,31087,0,1404158,181114,195321,201530,207629,221693,202558,197387,195620,233698,163184,175583,176382,178000,186538,177009,171817,175645,194757,86.34
8,RAJASTHAN,42577,37428,15297,228,1176,10827,398,0,107931,35740,21027,8751,208,707,4025,206,0,70664,42474,36703,15133,53,1000,10690,309,0,106362,42573,37428,15290,227,1161,10827,396,0,107902,1872883,4817752,3413112,20095,114707,2067449,31700,2437,12340135,95262,234628,196604,1043,13669,111807,3070,0,656083,2539,95,201,2,38,48,10,2933,12395,416,5,4,3,11,2,12836,27187,32150,14138,191,1093,9862,370,84991,15141,21515,10961,149,861,7611,220,56458,28422,34711,14494,213,1116,10274,377,89607,42318,37384,15270,227,1148,10815,393,107555,42038,36444,15051,52,995,10617,307,105504,40171,36757,15102,213,1164,10712,393,104512,8058,26426,14043,204,1139,9415,377,59662,2515,12259,10037,179,933,6082,279,32284,19608,19046,7795,130,584,4799,167,0,52129,18118,17611,7971,131,612,4781,193,0,49417,20575,13592,2568,205,198,3481,73,40692,34854,20815,8324,163,640,3953,194,68943,25699,16605,6184,139,374,2953,110,52064,32409,19401,7826,160,549,3604,167,64116,30004,4164,467,40,380,481,137,487,35673,34824,20919,7122,200,484,3565,163,67277,125798,253514,120330,979,5189,86126,1720,593656,33682,87952,62300,876,4404,38498,1152,0,228864,61580,146676,134304,167,9265,73309,1918,911257,2276074,1494818,17813,49563,922904,14339,1093,5687861,1083706,893664,834222,801667,815334,795441,731708,696532,688648,949701,781820,724791,691883,696821,677743,602658,562444,525376,67.06
9,UTTAR PRADESH,155756,12093,2595,63551,8123,959,2842,0,245919,114564,596,750,49036,3870,79,478,0,169373,155243,11982,2311,61419,7369,932,2726,0,241982,155378,12042,2500,63268,7685,947,2812,0,244632,21392915,4192214,1490668,6499317,1918068,372630,526823,32998,36425633,546381,78246,33663,242310,91967,7489,18856,0,1018912,890,62,120,181,376,29,140,1798,13317,439,64,6113,275,27,159,20394,149492,11638,2440,61510,7701,901,2612,236294,107899,9381,1739,46518,5453,640,1807,173437,110044,10881,2501,41153,7843,917,2703,176042,155060,12034,2489,63161,7675,946,2809,244174,154846,11972,2300,61259,7353,931,2723,241384,154096,12076,2588,62104,8117,958,2838,242777,56258,8784,2206,23047,6573,734,2066,99668,10392,3613,1466,10900,4551,347,762,32031,119848,6415,1577,44619,5062,544,1606,0,179671,40522,2183,1083,15549,3709,328,1236,0,64610,53953,5565,855,39356,2110,466,1531,103836,113668,282,369,47636,2107,30,279,164371,91710,151,212,35320,1200,15,163,128771,108770,244,292,45130,1739,22,240,156437,18684,247,86,18988,1036,31,366,9928,39438,113450,390,460,47887,2223,46,295,164751,746590,99397,24849,297150,42320,6679,12482,1229467,245963,33079,15145,86963,18496,2807,4375,0,406828,298735,44933,18385,154632,72929,4665,14335,10523879,1929470,748196,3355140,900812,173272,248663,15965,17895397,2782874,2608327,2655780,2538119,2350507,1865082,1858048,1871499,1752574,2611362,2471344,2530200,2449702,2272133,1851712,1847648,1861296,1555673,69.72
10,BIHAR,43405,32912,938,292,92,2281,246,0,80166,41837,26914,494,285,78,1859,165,0,71632,43284,32733,929,285,74,2265,201,0,79771,43370,32872,934,283,86,2265,242,0,80052,7106842,14250646,529073,135320,23585,1354423,31896,0,23431785,146405,272496,15470,2334,1513,27726,1933,0,467877,1356,135,1,2,5,6,16,1521,3267,112,4,6,0,3,4,3396,36111,29547,854,270,89,2058,233,69162,10929,14797,667,154,73,1509,166,28295,16481,22668,755,218,78,1759,163,42122,36582,31703,891,276,85,2199,220,71956,36262,31143,877,272,73,2197,176,71000,39201,32521,926,290,91,2271,244,75544,9124,16739,569,127,78,1228,98,27963,1030,4236,272,34,61,410,42,6085,23155,24200,563,246,34,1718,74,0,49990,9376,10125,290,105,38,846,61,0,20841,21912,4086,129,3,11,210,8,26359,39941,26562,468,278,24,1787,80,69140,20658,18598,347,201,15,1343,34,41196,38052,25320,461,273,24,1723,75,65928,1857,907,53,5,18,63,90,4070,2993,40504,26040,462,276,60,1759,135,69236,147323,272919,11332,2481,475,23095,927,458552,62052,90181,2850,851,316,7509,411,0,164170,78083,147183,7378,1472,1024,16105,1442,3559768,7101380,246164,67333,11526,663388,18230,0,11667789,1726083,1607854,1672580,1587707,1580765,1263129,1192112,1133766,893323,1666299,1586682,1632816,1552067,1557235,1286962,1215344,1170384,912563,63.82
11,SIKKIM,706,345,80,1,7,136,4,0,1279,489,188,69,1,7,115,4,0,873,705,345,77,1,7,136,3,0,1274,628,342,79,1,5,136,4,0,1195,20105,34380,25106,139,759,24300,508,0,105297,4205,4495,3364,6,92,2869,46,0,15077,9,0,0,0,1,0,0,10,3,0,0,0,0,0,0,3,559,307,80,0,5,124,4,1079,410,268,69,1,5,115,2,870,188,143,45,1,4,59,2,442,627,341,79,1,5,136,4,1193,704,344,77,1,7,136,3,1272,689,343,80,1,7,136,4,1260,485,319,80,1,6,131,4,1026,261,293,79,0,7,131,1,772,94,41,15,0,0,24,0,0,174,125,68,15,0,0,24,0,0,232,240,80,1,1,1,6,3,332,486,186,64,1,4,113,1,855,449,182,64,1,4,110,1,811,475,184,64,1,4,113,1,842,651,61,0,0,3,5,1,0,721,484,187,67,1,6,114,4,863,3493,3029,1167,3,46,1390,25,9153,2218,2600,1879,3,19,1500,18,0,8237,1987,1895,1485,3,73,1369,28,8757,16640,13061,74,400,12068,351,0,51351,6186,5835,6107,6844,7227,7816,6951,6980,7749,5312,4998,5451,6088,6759,8010,7393,7340,8366,82.2
12,ARUNACHAL PRADESH,2363,1216,67,50,53,224,39,0,4012,2200,976,47,50,52,160,39,0,3524,2355,1197,67,2,53,220,28,0,3922,2363,1211,66,50,53,224,39,0,4006,83247,153355,19574,4658,6697,51319,3608,0,322458,5471,9283,1393,407,1132,3430,468,0,21584,145,4,0,0,3,0,0,152,1008,75,0,0,0,0,0,1083,1357,913,61,35,49,196,35,2646,627,633,59,15,38,166,26,1564,985,794,56,30,42,174,27,2108,2231,1206,66,50,53,223,38,3867,2203,1183,66,2,51,219,26,3750,1745,1096,67,48,51,219,38,3264,450,589,60,40,45,175,29,1388,96,501,63,25,52,193,33,963,473,302,16,11,14,51,13,0,880,401,277,16,6,12,50,16,0,778,1506,432,13,49,4,36,18,2058,2037,956,36,15,40,150,25,3259,1195,668,33,8,22,119,16,2061,1959,929,36,15,38,150,23,3150,1852,285,4,6,9,6,7,35,2169,2008,953,41,43,46,149,37,3277,8564,9020,820,202,304,2022,206,21138,2252,4227,492,242,324,1538,165,0,9240,3219,5056,901,165,808,1892,303,41009,74770,8946,4591,3278,24364,2170,0,159128,29655,23955,21430,19573,18573,17513,16391,16240,15192,27569,22965,20409,18930,18171,17988,16844,16252,13959,66.95
13,NAGALAND,1265,786,105,39,46,379,179,0,2799,1146,590,6,39,44,89,178,0,2092,1265,786,103,39,46,379,179,0,2797,1265,786,105,39,45,379,179,0,2798,63665,102241,66347,2489,5919,95156,13769,110,349696,7392,8861,3375,299,1438,6529,2426,0,30320,4,0,0,0,0,0,1,5,47,0,0,1,0,0,0,48,982,643,103,32,40,349,149,2298,427,369,84,17,25,250,91,1263,793,518,99,21,33,311,121,1896,1263,786,105,38,45,379,179,2795,1248,773,102,38,46,374,179,2760,959,665,99,32,38,354,147,2294,251,471,104,23,40,333,115,1337,70,365,103,30,41,346,157,1112,369,288,11,20,10,47,40,0,785,334,261,10,19,11,43,41,0,719,414,112,7,6,6,54,19,618,1039,553,1,34,36,71,154,1888,869,497,1,30,32,67,137,1633,985,540,1,34,35,69,148,1812,741,99,2,18,6,20,56,26,942,1127,577,5,38,43,82,172,2044,6588,6152,1772,167,256,3639,781,19355,3564,4532,2108,102,702,3607,743,0,15358,3828,4329,1267,197,736,2922,1683,31830,51191,32048,1312,3037,44844,7135,63,171460,26272,25173,24391,23943,22040,20126,18805,17486,18305,24558,24307,23444,23088,20864,19899,18345,16955,18001,80.11
14,MANIPUR,2951,870,100,63,22,706,153,0,4865,2857,531,23,52,18,256,144,0,3881,2948,867,99,52,22,699,142,0,4829,2948,869,100,63,21,705,153,0,4859,115401,102253,56022,4000,3835,207669,13416,0,502596,11874,8319,3189,392,703,12531,1928,0,38936,29,0,0,0,2,2,2,35,324,6,0,0,0,0,0,330,2314,787,100,60,22,657,144,4084,1267,558,87,38,15,514,123,2602,401,343,82,28,20,441,97,1412,2897,865,100,61,21,705,150,4799,2900,860,99,47,22,698,139,4765,2946,864,100,63,22,700,153,4848,246,466,100,27,21,587,115,1562,64,360,96,25,21,588,115,1269,1162,330,26,11,13,215,87,0,1844,1192,330,16,12,10,211,82,0,1853,959,132,13,25,3,100,5,1237,2566,527,16,32,9,248,137,3535,1036,259,12,16,7,115,71,1516,2289,488,16,31,8,235,135,3202,2318,232,2,24,2,39,61,128,2678,2857,529,21,52,18,255,144,3876,10935,6594,1456,247,124,7014,604,26974,5707,4150,1596,170,326,6259,993,0,19201,6167,4169,1593,222,377,6272,935,57881,50696,26922,2566,1723,101535,7361,0,248684,39987,37988,34251,31882,30664,27712,25816,25612,22114,39543,36913,33204,31041,29847,26883,26156,25097,21612,79.85
15,MIZORAM,1561,389,0,1122,0,0,0,0,3072,1318,4,0,1033,0,0,0,0,2355,1560,389,0,1118,0,0,0,0,3067,1561,389,0,1122,0,0,0,0,3072,82263,69171,0,62883,0,0,0,0,214317,6189,4272,0,8021,0,0,0,0,18482,6,0,0,1,0,0,0,7,70,1,0,6,0,0,0,77,1473,379,0,1046,0,0,0,2898,977,210,0,784,0,0,0,1971,818,199,0,637,0,0,0,1654,1546,386,0,1116,0,0,0,3048,1521,377,0,1097,0,0,0,2995,1430,363,0,1055,0,0,0,2848,769,308,0,786,0,0,0,1863,133,189,0,588,0,0,0,910,703,29,0,597,0,0,0,0,1329,552,120,0,530,0,0,0,0,1202,361,257,0,360,0,0,0,978,1317,1,0,1025,0,0,0,2343,1276,1,0,1000,0,0,0,2277,1300,1,0,1022,0,0,0,2323,971,55,0,632,0,0,0,753,1658,1317,1,0,1026,0,0,0,2344,6593,3267,0,4575,0,0,0,14435,3094,2446,0,3069,0,0,0,0,8609,3095,1826,0,4952,0,0,0,39412,33591,0,30260,0,0,0,0,103263,20235,15140,14117,13197,12533,12564,12005,11263,11200,18861,14226,13110,12154,11744,11634,11238,10296,10910,91.58
16,TRIPURA,2568,1261,343,1,68,593,10,0,4844,2267,1169,317,1,68,539,9,0,4370,2563,1261,338,1,60,592,6,0,4821,2566,1260,339,1,64,593,10,0,4833,119158,147599,150077,172,11310,140421,775,0,569512,10638,12577,11239,13,1690,10339,117,0,46613,141,6,1,0,0,1,0,149,8,0,0,0,0,0,0,8,1931,998,332,1,65,561,10,3898,1334,832,290,1,60,478,7,3002,238,210,232,0,45,206,5,936,2559,1260,339,1,64,593,10,4826,2552,1260,335,1,60,592,6,4806,2196,1157,340,1,68,581,9,4352,327,175,336,1,67,451,9,1366,116,75,290,1,62,207,7,758,1082,604,256,0,49,409,7,0,2407,351,272,117,1,24,189,3,0,957,1378,129,9,1,5,22,3,1547,2252,1165,308,0,63,535,8,4331,1965,1097,299,0,57,519,8,3945,2204,1159,307,0,63,532,8,4273,1764,186,2,0,2,6,3,0,1963,2267,1169,315,1,67,537,9,4365,9961,8411,2669,7,330,3634,34,25046,2856,3065,4237,7,475,2889,60,0,13589,7782,9512,7002,6,1215,7450,57,58998,72409,73062,87,4602,69660,504,0,279322,34340,37372,37592,38916,39326,35344,34455,32845,42436,32290,35533,36147,37380,37972,34083,33694,32223,42097,87.75
17,MEGHALAYA,9362,183,29,3414,31,107,151,0,13277,7940,21,15,3189,28,22,130,0,11345,9351,183,26,3369,28,107,144,0,13208,9355,182,28,3408,31,105,150,0,13259,492670,28805,16099,177965,7340,28520,23371,843,775613,23517,1479,1026,14089,693,1538,1806,0,44148,1788,2,0,201,0,0,7,1998,980,1,0,16,0,0,0,997,4986,143,29,2124,30,100,139,7551,2743,94,25,1332,25,70,103,4392,1304,94,29,640,20,79,88,2254,7869,134,27,3060,30,96,133,11349,8087,134,25,3080,28,99,128,11581,5819,112,29,2096,31,93,134,8314,1115,98,29,1215,28,93,127,2705,331,50,26,676,27,71,103,1284,3099,11,7,1441,10,9,36,0,4613,2395,14,12,1149,10,14,38,0,3632,2864,112,4,1927,0,38,17,4962,7841,20,2,3117,6,6,67,11059,6979,19,1,2559,5,5,59,9627,7686,20,1,3017,6,6,66,10802,6048,27,0,2253,1,10,27,1231,8366,7868,21,10,3144,17,12,98,11170,26899,1276,374,11129,199,971,627,41475,13451,1077,698,6628,355,1106,916,0,24231,10066,402,328,7461,338,432,890,245621,15094,8352,93654,3656,13559,12872,485,393293,73435,57958,53655,47614,41870,40211,35253,32324,27487,70941,56087,53391,48690,44089,43739,39616,36740,30880,75.48
